competition,season,team_name,player_name,nation,position,age,born,matches_played,Playing Time_Starts,minutes,nineties,goals,assists,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,yellow_cards,red_cards,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Performance_2CrdY,fouls_committed,fouls_drawn,Performance_Off,crosses,interceptions,tackles_won,Performance_PKwon,Performance_PKcon,Performance_OG,Standard_Gls,shots,shots_on_target,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
ENG-Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,2,2,,,0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,24,2000,13,4,452,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5.0,0,7,7,0,1,11,9,,,0,0,7,0,0.0,1.39,0.0,0.0,,0,0
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24,2000,24,22,1922,21.4,1,0,1,1,0,0,4,1,0.05,0.0,0.05,0.05,0.05,21.4,1,11,5,1,5,18,30,,,0,1,12,6,50.0,0.56,0.28,0.08,0.17,0,0
ENG-Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,27,1996,34,15,1564,17.4,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,17.4,0,28,21,2,32,18,29,,,0,0,20,4,20.0,1.15,0.23,0.0,0.0,0,0
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,MF,28,1996,37,37,3228,35.9,4,5,9,4,0,0,10,0,0.11,0.14,0.25,0.11,0.25,35.9,0,56,19,15,74,43,77,,,0,4,37,18,48.6,1.03,0.5,0.11,0.22,0,0
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27,1997,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,38.0,0,0,2,0,0,1,1,,,0,0,1,0,0.0,0.03,0.0,0.0,,0,0
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,MF,26,1998,34,31,2588,28.8,8,8,16,7,1,2,1,0,0.28,0.28,0.56,0.24,0.52,28.8,0,13,51,9,110,10,21,,,0,8,102,29,28.4,3.55,1.01,0.07,0.24,1,2
ENG-Premier League,2425,Crystal Palace,Eddie Nketiah,ENG,"FW,MF",25,1999,29,9,1034,11.5,3,1,4,3,0,0,6,1,0.26,0.09,0.35,0.26,0.35,11.5,1,31,29,5,5,2,8,,,0,3,43,16,37.2,3.74,1.39,0.07,0.19,0,0
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,MF,26,1998,38,30,2711,30.1,8,6,14,8,0,0,4,0,0.27,0.2,0.46,0.27,0.46,30.1,0,14,55,11,55,8,11,,,0,8,59,29,49.2,1.96,0.96,0.14,0.28,0,0
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27,1997,37,33,2648,29.4,14,2,16,12,2,2,2,0,0.48,0.07,0.54,0.41,0.48,29.4,0,27,29,22,26,2,12,,,0,14,69,33,47.8,2.35,1.12,0.17,0.36,2,2
ENG-Premier League,2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",29,1994,33,26,2274,25.3,0,1,1,0,0,0,9,0,0.0,0.04,0.04,0.0,0.04,25.3,0,35,39,0,12,41,19,,,0,0,26,8,30.8,1.03,0.32,0.0,0.0,0,0
ENG-Premier League,2425,Crystal Palace,Jeffrey Schlupp,GHA,"DF,FW",31,1992,12,0,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1,0,1,0,0,4,0,0,,,0,0,4,2,50.0,3.5,1.75,0.0,0.0,0,0
ENG-Premier League,2425,Crystal Palace,Joachim Andersen,DEN,DF,28,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,0,0,1,0,1,,,0,0,1,1,100.0,1.0,1.0,0.0,0.0,0,0
ENG-Premier League,2425,Crystal Palace,Joel Ward,ENG,DF,34,1989,2,1,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0,4,0,0,0,0,0,,,0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",32,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0,1,0,0,1,0,0,,,0,0,1,0,0.0,4.29,0.0,0.0,,0,0
ENG-Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,20,2003,23,4,507,5.6,1,1,2,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,5.6,0,9,0,1,18,0,11,,,0,1,10,6,60.0,1.78,1.07,0.1,0.17,0,0
ENG-Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24,2000,34,34,3059,34.0,3,2,5,3,0,0,9,1,0.09,0.06,0.15,0.09,0.15,34.0,1,23,27,1,13,29,32,,,3,3,15,7,46.7,0.44,0.21,0.2,0.43,0,0
ENG-Premier League,2425,Crystal Palace,Matheus França,BRA,FW,20,2004,4,0,55,0.6,1,0,1,1,0,0,0,0,1.64,0.0,1.64,1.64,1.64,0.6,0,0,0,0,1,1,0,,,0,1,6,3,50.0,9.82,4.91,0.17,0.33,0,0
ENG-Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,24,2000,35,35,3116,34.6,1,1,2,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,34.6,0,34,19,1,7,54,42,,,0,1,30,6,20.0,0.87,0.17,0.03,0.17,0,0
ENG-Premier League,2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33,1991,13,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5.4,0,2,2,0,7,3,8,,,0,0,2,0,0.0,0.37,0.0,0.0,,0,0
ENG-Premier League,2425,Crystal Palace,Odsonne Édouard,FRA,MF,26,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3,0,4,0,2,1,0,0,,,0,0,5,1,20.0,3.91,0.78,0.0,0.0,0,0
ENG-Premier League,2425,Crystal Palace,Romain Esse,ENG,MF,19,2005,7,1,138,1.5,1,1,2,1,0,0,0,0,0.65,0.65,1.3,0.65,1.3,1.5,0,2,3,0,0,1,5,,,0,1,1,1,100.0,0.65,0.65,1.0,1.0,0,0
ENG-Premier League,2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25,1999,12,12,1060,11.8,3,0,3,3,0,0,1,0,0.25,0.0,0.25,0.25,0.25,11.8,0,10,15,1,7,20,15,,,0,3,11,4,36.4,0.93,0.34,0.27,0.75,0,0
ENG-Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,MF,24,1999,37,37,3092,34.4,0,5,5,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,34.4,0,23,25,2,107,21,53,,,0,0,12,3,25.0,0.35,0.09,0.0,0.0,0,0
ENG-Premier League,2425,Crystal Palace,Will Hughes,ENG,MF,29,1995,33,24,2108,23.4,0,3,3,0,0,0,11,0,0.0,0.13,0.13,0.0,0.13,23.4,0,65,31,0,70,21,36,,,0,0,22,1,4.5,0.94,0.04,0.0,0.0,0,0
ENG-Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,31,1993,33,31,2564,28.5,3,2,5,3,0,0,5,1,0.11,0.07,0.18,0.11,0.18,28.5,1,49,5,10,23,11,28,,,0,3,31,10,32.3,1.09,0.35,0.1,0.3,0,0
ENG-Premier League,2425,Everton,Armando Broja,ALB,FW,22,2001,10,4,334,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3.7,0,6,4,3,1,1,1,,,0,0,4,0,0.0,1.08,0.0,0.0,,0,0
ENG-Premier League,2425,Everton,Ashley Young,ENG,DF,39,1985,32,19,1875,20.8,1,3,4,1,0,0,7,1,0.05,0.14,0.19,0.05,0.19,20.8,0,30,22,0,75,26,36,,,0,1,6,3,50.0,0.29,0.14,0.17,0.33,0,0
ENG-Premier League,2425,Everton,Beto,GNB,FW,26,1998,30,15,1534,17.0,8,0,8,8,0,0,2,0,0.47,0.0,0.47,0.47,0.47,17.0,0,33,23,16,4,4,7,,,0,8,49,23,46.9,2.87,1.35,0.16,0.35,0,0
ENG-Premier League,2425,Everton,Carlos Alcaraz,ARG,MF,21,2002,15,7,764,8.5,2,3,5,2,0,0,4,0,0.24,0.35,0.59,0.24,0.59,8.5,0,13,12,1,11,5,4,,,0,2,26,11,42.3,3.06,1.3,0.08,0.18,0,0
ENG-Premier League,2425,Everton,Dominic Calvert-Lewin,ENG,FW,27,1997,26,19,1609,17.9,3,1,4,3,0,0,2,0,0.17,0.06,0.22,0.17,0.22,17.9,0,27,23,27,6,7,7,,,0,3,50,20,40.0,2.8,1.12,0.06,0.15,0,0
ENG-Premier League,2425,Everton,Dwight McNeil,ENG,MF,24,1999,21,15,1371,15.2,4,6,10,4,0,0,1,0,0.26,0.39,0.66,0.26,0.66,15.2,0,6,18,1,104,6,8,,,0,4,24,10,41.7,1.58,0.66,0.17,0.4,0,0
ENG-Premier League,2425,Everton,Harrison Armstrong,ENG,MF,17,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0,2,2,0,1,0,0,,,0,0,1,0,0.0,1.87,0.0,0.0,,0,0
ENG-Premier League,2425,Everton,Idrissa Gueye,SEN,MF,34,1989,37,35,3063,34.0,0,3,3,0,0,0,9,0,0.0,0.09,0.09,0.0,0.09,34.0,0,55,46,0,7,46,76,,,0,0,27,5,18.5,0.79,0.15,0.0,0.0,0,0
ENG-Premier League,2425,Everton,Iliman Ndiaye,SEN,"MF,FW",24,2000,33,29,2430,27.0,9,0,9,7,2,2,3,0,0.33,0.0,0.33,0.26,0.26,27.0,0,24,52,5,37,19,27,,,0,9,37,17,45.9,1.37,0.63,0.19,0.41,2,2
ENG-Premier League,2425,Everton,Jack Harrison,ENG,"MF,FW",27,1996,34,24,2076,23.1,1,0,1,1,0,0,0,0,0.04,0.0,0.04,0.04,0.04,23.1,0,13,28,4,131,9,23,,,0,1,29,7,24.1,1.26,0.3,0.03,0.14,0,0
ENG-Premier League,2425,Everton,Jake O'Brien,IRL,DF,23,2001,20,17,1571,17.5,2,0,2,2,0,0,5,0,0.11,0.0,0.11,0.11,0.11,17.5,0,13,4,3,18,4,17,,,0,2,6,3,50.0,0.34,0.17,0.33,0.67,0,0
ENG-Premier League,2425,Everton,James Garner,ENG,"MF,DF",23,2001,21,17,1594,17.7,0,1,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,17.7,0,20,15,0,55,20,32,,,0,0,12,4,33.3,0.68,0.23,0.0,0.0,0,0
ENG-Premier League,2425,Everton,James Tarkowski,ENG,DF,31,1992,33,33,2922,32.5,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,32.5,0,35,29,1,1,37,40,,,0,1,15,4,26.7,0.46,0.12,0.07,0.25,0,0
ENG-Premier League,2425,Everton,Jarrad Branthwaite,ENG,DF,22,2002,30,28,2511,27.9,0,1,1,0,0,0,4,0,0.0,0.04,0.04,0.0,0.04,27.9,0,12,18,2,6,24,21,,,0,0,10,3,30.0,0.36,0.11,0.0,0.0,0,0
